"RECNUM","SEX","AGYSPNDS","AgeAtAdopt","ChildRace","BioMomAgeAtBirth","MOMARRD","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"10115515140",2,2,0,1,20,1,33,33,1,1,1,0
"10185923110",1,2,1,2,29,2,45,54,1,1,1,1
"10199738080",2,2,0,1,24,2,36,45,1,1,1,0
"10206906020",2,2,0,99,28,2,41,44,1,1,1,9
"10286352150",1,2,1,99,36,2,32,32,1,1,1,9
"10291477140",2,2,0,99,23,2,43,39,1,1,1,9
"10291478120",1,2,0,99,23,2,43,39,1,1,1,9
"10302822130",1,2,0,1,24,2,60,65,1,1,1,0
"10330723240",1,2,0,99,22,2,50,52,1,1,1,9
"10614847090",2,2,0,1,28,2,47,42,1,1,1,0
"10617944030",2,2,0,99,24,2,32,29,1,1,1,9
"10698877230",1,2,0,1,15,NA,NA,NA,NA,99,99,9
"10835477240",2,2,0,99,32,2,42,39,1,1,1,9
"10861672080",1,2,0,99,23,1,38,36,1,1,1,9
"12204218080",1,2,1,1,24,2,38,43,1,1,1,0
"12204384010",1,2,2,99,23,2,49,NA,3,2,99,9
"12209504080",2,2,1,99,23,2,50,55,1,7,99,9
"12211837170",1,2,2,99,26,2,26,32,1,1,1,9
"12212759200",1,2,2,99,31,2,42,48,1,1,1,9
"12216673140",2,2,1,99,22,2,60,63,1,1,1,9
"12216901220",1,2,2,1,29,2,46,42,1,7,7,2
"12219536050",2,2,1,1,26,2,40,30,2,1,1,0
"12222439200",1,2,2,2,42,2,44,34,1,2,2,0
"12223880160",1,2,1,1,26,2,39,49,1,1,1,0
"12225039010",2,2,2,2,30,2,64,55,1,2,2,0
"12228044060",2,2,2,1,20,1,51,53,1,1,1,0
"12228543160",2,2,1,1,36,1,58,55,1,1,1,0
"12231388170",1,2,1,1,20,2,52,43,1,1,1,0
"12240120110",1,2,0,99,23,2,56,60,2,1,2,9
"12241623180",2,2,1,1,26,2,45,NA,3,1,99,0
"12244960020",2,2,1,2,26,3,27,NA,3,2,99,0
"12245629110",1,2,1,1,26,2,40,43,1,1,1,0
"12248980250",2,2,1,1,24,1,38,30,1,1,1,0
"12248993150",1,2,1,3,30,2,34,37,1,1,1,1
"12252116060",2,2,1,1,25,2,49,51,1,1,1,0
"12258639190",1,2,2,1,29,2,36,30,1,1,1,0
"12258751190",2,2,1,4,40,3,51,51,1,1,1,1
"12262631050",1,2,2,2,31,2,38,NA,3,2,99,0
"12266345240",1,2,1,1,23,2,38,34,1,1,1,0
"12267089060",1,2,1,1,35,2,34,35,1,1,1,0
"12274307130",1,2,1,1,24,2,55,53,1,1,1,0
"12276175190",2,2,1,99,30,2,32,28,1,1,1,9
"12277593130",1,2,3,1,20,1,28,53,2,1,7,0
"12277594110",2,2,2,1,21,1,28,53,2,1,7,0
"12279057030",2,2,1,99,22,2,55,52,1,1,1,9
"12285210030",1,2,1,1,24,2,43,47,1,1,1,0
"12285795160",1,2,1,1,25,1,59,53,1,1,1,0
"12288970160",1,2,0,1,25,2,37,32,1,2,2,2
"12289439150",1,2,1,1,21,2,36,36,1,1,1,0
"12292194130",2,2,2,99,19,2,31,NA,3,1,99,9
"12293705030",1,2,4,1,19,2,45,NA,4,1,99,0
"12294844140",2,2,1,7,28,2,40,42,1,7,7,0
"12297576200",2,2,1,99,28,2,49,51,1,1,1,9
"12301187210",2,2,1,4,37,2,66,71,1,4,4,0
"12303909220",2,2,0,2,27,2,30,32,1,1,1,1
"12313142030",1,2,1,2,31,2,48,NA,3,2,99,0
"12313228170",2,2,1,2,32,2,35,38,1,1,1,1
"12315269130",1,2,1,1,20,2,24,25,2,1,1,0
"12316112160",1,2,1,1,30,2,50,NA,3,1,99,0
"12317720210",2,2,1,1,30,2,47,NA,3,5,99,2
"12328643130",2,2,1,1,28,2,43,44,1,1,1,0
"12331519080",1,2,1,2,27,2,32,34,1,1,1,1
"12334698150",1,2,1,1,28,2,30,NA,3,1,99,0
"12336558050",1,2,1,2,31,2,48,36,1,2,2,0
"12337770030",1,2,15,2,38,2,56,NA,3,2,99,0
"12344511140",2,2,1,1,25,2,43,43,1,1,1,0
"12351216210",1,2,0,1,33,1,35,35,1,1,1,0
"12352457170",2,2,1,99,23,2,44,NA,3,1,99,9
"12353009260",1,2,0,1,23,2,29,30,2,1,1,0
"12354282220",2,2,1,1,22,2,38,49,1,1,1,0
"12355251200",2,2,1,1,27,2,35,38,1,1,1,0
"12355803110",2,2,0,1,22,2,32,30,1,1,1,0
"12356646120",1,2,1,1,22,1,47,42,1,1,1,0
"12357903170",2,2,1,1,23,2,47,44,1,1,1,0
"12359540050",1,2,1,2,27,2,48,49,1,1,1,1
"12361085250",1,2,1,1,24,2,38,43,1,1,1,0
"12364118140",1,2,1,99,34,1,49,47,1,1,1,9
"12379075050",2,2,1,1,23,2,43,36,1,7,1,0
"12386969160",1,2,1,1,18,3,50,50,1,2,2,2
"12423436200",1,2,1,99,17,2,40,NA,3,1,99,9
"12452751090",1,2,0,1,20,2,39,39,1,1,1,0
"12467393250",1,2,1,1,35,2,42,53,1,1,1,0
"12477870130",1,2,1,7,23,2,44,NA,3,1,99,1
"12479978260",2,2,1,1,22,2,40,40,1,1,1,0
"12528239240",1,2,1,1,38,2,33,36,1,1,7,0
"12534938250",1,2,0,1,33,2,35,37,1,1,1,0
"12574601160",2,2,1,1,30,2,43,44,1,1,1,0
"12582006060",1,2,1,1,31,2,35,NA,4,7,99,9
"12597536020",2,2,1,1,25,2,58,50,1,1,1,0
"12612275110",1,2,1,1,32,2,46,49,1,1,2,0
"12629142060",1,2,1,2,31,2,49,56,1,1,1,1
"12653048010",2,2,0,1,36,NA,NA,NA,NA,99,99,9
"12662517060",1,2,0,1,33,1,43,52,1,7,7,2
"12677154090",2,2,1,1,36,2,45,50,1,1,1,0
"12677155060",2,2,1,1,36,2,45,50,1,1,1,0
"12698447190",2,2,1,1,20,2,49,45,1,3,3,2
"240841000000",1,2,20,1,NA,2,63,NA,3,1,99,0
"241151000000",1,2,19,1,18,2,66,NA,3,1,99,0
"241165000000",2,2,19,1,22,NA,NA,NA,NA,99,99,9
"241625000000",1,1,20,2,26,2,49,NA,3,2,99,0
"241660000000",1,2,18,2,23,1,54,51,1,1,7,3
"241694000000",2,2,18,1,21,1,57,67,1,1,1,0
"241706000000",2,2,17,1,19,2,40,39,1,1,1,0
"241734000000",1,2,17,2,23,1,46,47,1,5,1,3
"241800000000",1,2,17,1,23,3,39,41,1,1,3,0
"241824000000",2,2,17,1,34,1,39,42,1,1,1,0
"241832000000",1,2,17,2,33,3,57,58,2,99,99,9
"241839000000",1,2,17,1,23,3,61,58,1,1,1,0
"241881000000",2,1,18,2,NA,2,45,NA,3,7,99,3
"241884000000",1,2,20,2,31,2,58,NA,3,2,99,0
"241903000000",1,1,18,1,32,2,53,NA,3,1,99,0
"241918000000",1,1,18,99,18,2,43,NA,4,1,99,9
"241919000000",1,2,17,1,28,2,47,48,1,1,1,0
"241927000000",1,2,16,1,19,2,80,NA,3,2,99,2
"241954000000",1,2,17,6,29,2,54,NA,3,2,99,3
"241959000000",1,2,18,1,20,3,38,NA,4,1,99,0
"241968000000",1,2,17,2,31,3,55,NA,3,99,99,9
"241979000000",2,2,17,7,30,2,64,NA,3,7,99,0
"242048000000",2,2,17,2,25,2,53,NA,3,2,99,0
"242052000000",1,2,16,1,NA,1,57,NA,3,1,99,0
"242059000000",1,2,16,2,24,1,46,47,1,1,1,1
"242070000000",2,2,17,2,12,3,55,NA,3,99,99,9
"242070000000",1,2,17,99,18,2,76,NA,3,2,99,9
"242086000000",2,2,16,1,28,1,60,58,1,1,1,0
"242089000000",1,2,16,1,NA,2,41,NA,3,1,99,0
"242125000000",1,2,18,2,23,2,51,NA,3,2,99,0
"242133000000",1,2,16,1,20,1,54,54,1,1,1,0
"242135000000",2,2,18,2,24,3,39,NA,3,2,99,0
"242139000000",1,2,16,1,31,2,53,55,1,1,1,0
"242146000000",1,2,16,1,23,2,43,38,1,1,1,0
"242147000000",1,1,16,2,28,2,64,NA,3,2,99,0
"242162000000",1,2,16,1,37,1,52,NA,4,1,99,0
"242173000000",2,2,16,1,26,2,44,44,1,1,1,0
"250100000000",1,2,13,1,20,1,66,NA,4,1,99,0
"250103000000",1,2,15,2,14,2,51,NA,3,2,99,0
"250106000000",2,2,13,1,22,2,58,68,1,1,1,0
"250115000000",1,2,18,1,NA,2,52,48,1,1,1,0
"250135000000",1,1,14,7,36,2,41,60,1,2,2,3
"250143000000",1,2,15,2,32,2,51,NA,3,2,99,0
"250151000000",2,2,15,1,33,1,47,NA,3,1,99,0
"250162000000",2,2,13,2,22,2,43,NA,3,2,99,0
"250164000000",1,2,13,99,32,2,64,67,1,1,1,9
"250178000000",1,2,14,1,18,2,56,57,1,1,1,0
"250179000000",1,2,13,1,22,2,45,46,1,1,1,0
"250179000000",1,2,13,1,27,1,39,41,1,1,3,0
"250179000000",1,2,13,2,17,2,55,NA,3,2,99,0
"250186000000",2,2,13,1,32,1,64,64,1,1,1,0
"250195000000",1,2,14,2,20,3,37,NA,3,2,99,0
"250200000000",1,2,13,99,18,2,44,44,1,1,1,9
"250209000000",1,2,13,1,27,2,40,NA,3,1,99,0
"250239000000",1,2,13,7,38,2,60,NA,4,2,99,9
"250239000000",1,2,13,1,32,1,56,NA,3,1,99,0
"250257000000",1,2,14,1,22,2,68,66,2,1,1,0
"250262000000",1,2,13,2,35,3,53,NA,3,2,99,0
"250268000000",1,2,17,7,25,2,66,NA,3,2,99,3
"250268000000",1,2,15,7,28,2,66,NA,3,2,99,3
"250268000000",1,2,15,7,28,2,66,NA,3,2,99,3
"250272000000",1,2,14,2,23,2,60,NA,3,2,99,0
"250279000000",2,2,13,2,18,2,67,71,1,2,2,0
"250287000000",1,2,13,1,31,1,47,45,1,1,1,0
"250302000000",2,2,14,2,21,2,33,NA,3,2,99,0
"250328000000",2,2,17,2,21,2,44,NA,3,2,99,0
"250332000000",2,2,13,1,29,1,45,48,1,1,1,0
"250344000000",1,2,14,2,35,3,67,NA,3,7,99,3
"250374000000",1,2,13,99,20,1,62,NA,3,2,99,9
"250380000000",1,2,12,1,18,2,46,42,1,1,1,0
"250394000000",1,2,15,2,21,2,45,NA,4,2,99,0
"250396000000",2,2,18,2,27,2,44,NA,3,2,99,0
"250505000000",2,2,12,99,28,2,56,63,1,1,1,9
"250508000000",2,2,17,2,28,2,31,NA,3,2,99,0
"250513000000",1,2,13,1,32,1,42,44,1,1,1,0
"250520000000",1,2,12,1,40,1,65,64,1,2,2,2
"250524000000",1,2,13,2,17,3,47,48,1,2,2,0
"250527000000",1,2,12,7,23,2,52,NA,3,2,99,3
"250531000000",2,2,15,2,20,3,52,NA,3,7,99,3
"250531000000",1,2,14,2,21,3,52,NA,3,7,99,3
"250549000000",2,2,12,1,23,2,74,52,1,1,1,0
"250556000000",2,2,12,1,24,2,67,NA,3,1,99,0
"250567000000",1,2,13,7,38,2,49,51,1,7,7,0
"250591000000",2,2,13,2,28,2,63,NA,3,1,99,1
"250596000000",2,2,14,1,18,2,54,51,1,1,1,0
"250598000000",2,2,12,1,29,1,49,NA,3,1,99,0
"250603000000",1,2,14,1,25,3,38,36,1,2,2,2
"250613000000",2,2,13,1,22,2,45,52,1,1,1,0
"250620000000",2,2,12,1,21,2,41,46,1,1,1,0
"250620000000",2,2,12,2,16,2,62,NA,3,7,99,3
"250637000000",2,2,12,1,23,2,69,71,1,1,1,0
"250643000000",2,2,13,2,29,2,53,NA,3,2,99,0
"250647000000",2,2,12,2,39,3,53,NA,3,2,99,0
"250647000000",2,2,15,7,21,2,47,50,1,7,7,0
"250650000000",1,1,12,2,27,2,60,NA,3,2,99,0
"250661000000",2,2,12,1,17,2,51,NA,3,1,99,0
"250664000000",2,2,11,1,27,3,53,NA,3,1,99,0
"250670000000",1,2,12,1,16,3,59,57,1,1,1,0
"250681000000",2,2,10,99,22,2,38,NA,3,2,99,9
"250693000000",2,2,13,7,17,3,58,60,1,2,2,3
"250694000000",2,2,12,1,19,1,45,45,1,1,1,0
"250809000000",2,2,13,2,28,2,59,NA,3,2,99,0
"250820000000",1,2,13,7,26,2,60,NA,3,2,99,3
"250823000000",2,2,12,7,15,2,48,NA,3,7,99,0
"250834000000",1,2,12,1,18,2,43,43,1,1,1,0
"250838000000",1,2,14,2,21,2,53,NA,3,2,99,0
"250843000000",1,2,11,1,21,1,54,51,1,1,1,0
"250850000000",1,2,12,99,20,2,38,NA,3,2,99,9
"250855000000",1,2,12,2,22,2,46,47,1,2,2,0
"250856000000",1,2,11,1,17,2,55,55,1,1,1,0
"250871000000",2,2,12,1,23,2,69,70,1,1,1,0
"250872000000",1,2,12,1,24,2,49,NA,3,1,99,0
"250876000000",1,2,12,7,23,1,49,45,1,1,1,1
"250878000000",2,2,11,1,31,2,42,NA,3,2,99,2
"250899000000",2,2,12,7,38,3,62,60,1,2,2,3
"250916000000",2,2,11,99,31,2,44,44,1,1,1,9
"250918000000",1,2,16,7,NA,3,47,NA,4,7,99,0
"250918000000",2,2,12,2,33,2,31,NA,3,2,99,0
"250918000000",2,2,12,2,33,2,31,NA,3,2,99,0
"250945000000",2,2,12,1,22,NA,NA,NA,NA,99,99,9
"250951000000",2,2,12,1,22,1,52,43,1,7,7,2
"250952000000",1,1,12,7,18,2,55,56,1,2,2,3
"250956000000",1,2,17,7,20,2,41,41,1,7,7,0
"250956000000",2,2,13,7,25,2,40,41,1,7,7,0
"250959000000",2,2,11,1,29,2,40,NA,3,5,99,2
"250965000000",1,2,11,1,24,2,63,NA,3,1,99,0
"250984000000",1,2,11,2,29,2,45,NA,3,2,99,0
"250990000000",1,2,11,1,24,2,74,52,1,1,1,0
"250996000000",1,2,11,7,19,3,58,60,1,2,2,3
"251101000000",1,2,11,7,20,2,71,65,1,1,1,1
"251121000000",1,2,12,1,26,2,78,NA,3,7,99,2
"251140000000",1,2,11,7,26,1,55,NA,3,2,99,3
"251142000000",1,2,11,1,23,1,65,NA,3,1,99,0
"251147000000",2,2,12,2,39,3,41,NA,3,2,99,0
"251149000000",1,1,12,2,30,2,50,NA,3,7,99,3
"251151000000",2,2,11,2,32,3,51,NA,3,2,99,0
"251151000000",2,2,12,2,31,3,51,NA,3,2,99,0
"251158000000",1,2,11,1,21,3,51,62,2,7,7,2
"251193000000",2,2,14,1,39,2,44,49,1,1,1,0
"251199000000",2,1,15,7,NA,2,66,NA,3,7,99,0
"251204000000",2,2,11,1,18,2,34,NA,3,1,99,0
"251210000000",2,2,12,2,19,2,57,NA,3,2,99,0
"251223000000",2,2,12,7,20,2,67,NA,3,2,99,3
"251225000000",1,2,10,1,21,2,44,44,1,1,1,0
"251236000000",2,2,13,2,31,2,53,NA,3,2,99,0
"251237000000",1,2,11,1,22,2,41,46,1,1,1,0
"251242000000",2,2,11,1,35,2,73,70,1,1,1,0
"251244000000",2,2,16,2,23,2,34,36,1,1,1,1
"251251000000",1,2,11,2,27,2,43,NA,3,2,99,0
"251253000000",2,2,15,7,41,2,78,NA,3,7,99,0
"251261000000",2,1,11,99,16,2,60,NA,3,2,99,9
"251264000000",1,2,11,2,24,2,68,66,2,1,1,1
"251270000000",2,2,11,1,28,2,32,NA,3,1,99,0
"251275000000",2,2,11,2,15,NA,NA,NA,NA,99,99,9
"251283000000",2,2,15,2,NA,3,48,NA,3,2,99,0
"251291000000",1,2,10,2,27,2,53,NA,3,2,99,0
"251293000000",1,2,11,1,26,2,50,50,1,1,1,0
"251299000000",1,2,13,7,34,2,53,42,1,2,2,3
"251301000000",1,2,10,99,22,2,41,40,1,1,1,9
"251315000000",2,2,12,2,40,2,49,NA,3,2,99,0
"251319000000",1,2,11,2,36,2,54,NA,3,2,99,0
"251321000000",2,2,11,2,19,2,50,50,1,1,1,1
"251321000000",1,2,11,2,36,2,54,NA,3,2,99,0
"251322000000",1,2,15,2,34,2,47,NA,3,2,99,0
"251322000000",1,2,13,2,35,2,47,NA,3,2,99,0
"251327000000",2,2,10,2,26,2,57,NA,3,2,99,0
"251334000000",2,2,11,1,24,2,60,58,1,1,1,0
"251343000000",2,2,10,99,20,1,29,29,1,1,2,9
"251349000000",1,2,10,1,26,2,67,NA,3,1,99,0
"251371000000",1,2,11,1,25,2,63,53,1,1,2,0
"251383000000",2,2,11,1,21,2,44,NA,3,1,99,0
"251384000000",2,2,10,1,18,2,37,40,1,1,1,0
"251385000000",2,1,10,6,36,2,57,NA,3,2,99,3
"251393000000",1,2,10,1,32,2,54,57,1,1,1,0
"251402000000",1,2,10,7,27,1,33,34,1,1,1,1
"251412000000",1,2,13,2,21,2,28,NA,4,7,99,9
"251424000000",1,2,10,1,33,2,54,57,1,1,1,0
"251426000000",2,2,10,1,19,2,43,43,1,1,1,0
"251430000000",1,2,10,1,18,NA,NA,NA,NA,99,99,9
"251439000000",2,2,11,2,19,3,33,NA,3,2,99,0
"251449000000",1,2,10,2,59,2,69,NA,3,2,99,0
"251469000000",1,2,10,1,34,1,47,45,1,1,1,0
"251474000000",2,2,11,2,42,2,69,NA,3,2,99,0
"251475000000",2,2,10,2,25,2,37,NA,3,2,99,0
"251477000000",2,2,16,2,NA,3,58,62,1,7,7,3
"251477000000",2,2,11,1,23,NA,NA,NA,NA,99,99,9
"251488000000",2,2,16,2,34,3,57,58,2,99,99,9
"251493000000",2,2,11,2,33,2,53,NA,3,2,99,0
"251494000000",1,2,12,2,20,2,63,69,1,2,2,0
"251525000000",2,2,10,1,19,2,52,59,1,1,1,0
"251528000000",1,2,12,2,22,2,78,NA,3,2,99,0
"251531000000",1,2,15,1,35,2,55,56,1,7,7,2
"251534000000",1,2,10,1,38,1,51,NA,3,1,99,0
"251537000000",2,2,15,1,19,2,53,52,1,1,1,0
"251537000000",1,2,11,1,23,2,53,52,1,1,1,0
"251538000000",1,2,10,2,24,2,69,NA,3,7,99,3
"251538000000",2,2,12,2,22,2,67,NA,3,2,99,0
"251542000000",2,2,11,2,19,2,60,NA,3,2,99,0
"251547000000",1,2,10,1,27,3,44,42,1,1,1,0
"251552000000",2,2,10,2,31,2,58,57,1,2,2,0
"251555000000",1,2,10,1,40,3,46,NA,3,7,99,2
"251557000000",1,2,10,99,22,2,49,49,2,1,1,9
"251557000000",2,2,11,2,21,2,50,55,1,2,2,0
"251563000000",1,2,11,99,31,2,61,NA,3,2,99,9
"251564000000",1,2,11,99,24,2,76,NA,3,2,99,9
"251566000000",1,2,10,2,14,2,65,NA,3,2,99,0
"251575000000",1,2,10,1,19,2,60,NA,3,7,99,2
"251579000000",2,2,10,99,36,2,64,67,1,1,1,9
"251579000000",2,2,11,1,35,2,60,NA,3,1,99,0
"251579000000",2,2,16,1,27,2,59,NA,3,7,99,2
"251579000000",2,2,14,1,29,2,59,NA,3,7,99,2
"251580000000",1,1,10,99,35,2,49,NA,3,2,99,9
"251584000000",2,2,10,2,21,2,49,50,1,2,2,0
"251596000000",2,2,14,2,18,NA,NA,NA,NA,99,99,9
"251596000000",2,2,11,2,20,NA,NA,NA,NA,99,99,9
"251608000000",1,2,13,7,22,3,66,NA,3,2,99,3
"251612000000",1,2,10,2,29,2,38,NA,4,2,99,0
"251614000000",2,2,9,1,19,1,46,42,1,1,1,0
"251636000000",1,2,10,99,26,2,55,52,1,2,2,9
"251656000000",1,2,9,1,21,3,53,NA,3,1,99,0
"251658000000",1,2,9,1,20,2,48,NA,3,1,99,0
"251661000000",2,2,10,1,35,1,42,44,1,1,1,0
"251666000000",1,2,10,2,21,2,50,NA,3,2,99,0
"251670000000",1,2,13,2,32,2,53,55,1,2,2,0
"251670000000",1,2,11,2,33,2,53,55,1,2,2,0
"251675000000",1,2,9,1,24,2,34,36,1,1,1,0
"251681000000",1,2,10,1,25,2,50,39,1,1,1,0
"251682000000",2,2,10,1,20,2,33,36,1,7,1,0
"251687000000",1,2,13,7,24,2,40,NA,4,2,99,9
"251689000000",2,2,9,7,33,1,41,41,1,2,2,3
"251689000000",1,2,9,7,28,1,33,34,1,1,1,1
"251689000000",2,2,9,2,22,NA,NA,NA,NA,99,99,9
"251698000000",1,2,9,7,28,2,40,NA,4,2,99,9
"251715000000",1,2,10,2,24,2,41,40,1,1,1,1
"251720000000",1,2,10,1,26,2,54,68,1,1,1,0
"251728000000",2,2,10,1,21,1,45,45,1,1,1,0
"251736000000",2,2,10,2,26,2,56,NA,3,2,99,0
"251737000000",2,2,10,7,40,3,62,60,1,2,2,3
"251739000000",2,2,9,1,20,2,34,NA,3,1,99,0
"251740000000",1,2,10,2,30,NA,NA,NA,NA,99,99,9
"251741000000",1,2,14,1,28,3,55,NA,3,7,99,2
"251741000000",1,2,12,1,29,1,55,NA,3,7,99,2
"251741000000",2,2,9,2,19,2,51,50,1,2,2,0
"251743000000",2,2,10,1,21,2,51,57,1,1,1,0
"251747000000",1,2,9,1,27,3,47,47,1,1,1,0
"251748000000",1,2,10,1,26,2,45,49,1,7,7,2
"251758000000",1,2,10,99,31,2,59,NA,3,1,99,9
"251758000000",2,2,14,7,32,3,62,NA,3,7,99,0
"251762000000",2,2,9,2,29,3,50,NA,3,99,99,9
"251764000000",2,2,10,99,24,2,76,NA,3,2,99,9
"251767000000",1,2,9,7,35,2,41,46,1,1,1,1
"251767000000",2,2,9,7,35,2,41,46,1,1,1,1
"251770000000",2,2,15,2,25,2,53,51,1,2,2,0
"251770000000",2,2,13,2,26,2,53,51,1,2,2,0
"251770000000",2,2,12,2,27,2,53,51,1,2,2,0
"251771000000",2,2,9,2,19,2,34,NA,3,2,99,0
"251789000000",1,2,9,2,29,2,53,55,1,2,2,0
"251793000000",1,2,10,1,25,2,56,57,1,1,1,0
"251797000000",2,2,9,1,23,2,52,56,1,1,1,0
"251797000000",2,2,10,1,38,2,29,NA,3,1,99,0
"251798000000",2,2,11,1,25,3,57,59,1,1,1,0
"251798000000",2,2,10,2,27,2,57,62,1,2,2,0
"251800000000",1,2,9,2,20,2,50,50,1,1,1,1
"251802000000",1,2,9,2,16,2,49,51,1,2,2,0
"251816000000",1,2,9,2,26,2,31,NA,3,2,99,0
"251819000000",1,2,19,2,19,2,43,NA,4,2,99,0
"251821000000",1,2,10,1,25,2,58,60,1,1,1,0
"251827000000",2,2,9,4,18,2,52,NA,3,2,99,3
"251828000000",1,2,9,7,40,NA,NA,NA,NA,99,99,9
"251831000000",1,2,5,1,28,2,45,50,1,1,1,0
"251834000000",2,2,16,2,18,2,57,NA,4,2,99,0
"251838000000",1,2,13,2,34,3,55,NA,3,2,99,0
"251840000000",1,2,9,1,42,2,71,71,1,7,7,2
"251841000000",2,2,9,1,22,1,45,45,1,1,1,0
"251844000000",2,2,9,2,29,2,54,NA,3,2,99,0
"251848000000",1,2,8,99,22,1,29,29,1,1,2,9
"251854000000",1,2,9,1,26,2,52,NA,4,1,99,0
"251862000000",1,2,10,7,37,2,29,43,1,7,7,0
"251863000000",1,2,14,99,30,3,44,NA,3,2,99,9
"251866000000",2,2,11,2,43,2,59,62,1,2,2,0
"251866000000",1,2,13,2,30,2,51,NA,3,2,99,0
"251866000000",2,2,12,2,31,2,51,NA,3,2,99,0
"251869000000",1,2,10,2,26,2,68,66,2,1,1,1
"251869000000",1,2,9,1,22,2,50,40,1,1,1,0
"251871000000",2,2,11,2,29,2,47,NA,3,2,99,0
"251871000000",2,2,9,2,31,2,60,NA,3,2,99,0
